Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL322136,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,1800,nM
CHEMBL1231107,Nc1nc(N)nc(NC2CC2)n1,IC50,,
CHEMBL321156,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1,IC50,70.79,nM
CHEMBL280326,COc1c(C(C)(C)C)cc(-c2nnc(SC)s2)cc1C(C)(C)C,IC50,340,nM
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,,
CHEMBL28599,Cc1ccccc1-c1cc(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)cc1,IC50,69.18,nM
CHEMBL30236,CCc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)ccc1OC,IC50,426.58,nM
CHEMBL298269,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1,IC50,7.943,nM
CHEMBL108936,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cn1,IC50,290,nM
CHEMBL55395,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc3c(c2)OCCO3)cc1,IC50,32.36,nM
CHEMBL358609,Cc1cn2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nc2s1,IC50,17500,nM
CHEMBL348825,COC1(c2cc(F)cc(OCc3nc(-c4ccc(F)cc4)c(S(N)(=O)=O)o3)c2)CCOCC1,IC50,100,nM
CHEMBL66856,C=CCn1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1C(F)(F)F,IC50,75,nM
CHEMBL326254,CC1(C)OC(=O)C(Oc2ncccn2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,860,nM
CHEMBL92154,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,IC50,8,nM
CHEMBL319446,CC1(C)OC(=O)C(Oc2ncnc3ccccc23)=C1c1ccc(S(C)(=O)=O)cc1,IC50,1700,nM
CHEMBL1078375,Cc1cccc(Nc2cnccc2NS(C)(=O)=O)c1,IC50,8810,nM
CHEMBL1204023,Cl.O=S(=O)(Nc1ccncc1NC1CCCCC1)C(F)(F)F,IC50,330,nM
CHEMBL298208,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,IC50,250,nM
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,40,nM
CHEMBL414437,Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1c(O)nc1ccc([N+](=O)[O-])cc12,IC50,240,nM
CHEMBL324826,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(Cl)c2Cl)cc1,IC50,6,nM
CHEMBL44038,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,141.25,nM
CHEMBL1171451,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]45C)[C@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]2O)[C@H]1O,IC50,50000,nM
CHEMBL1171258,COc1ccc(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4CO[C@@H](O[C@@H]5[C@@H](O)[C@H](C)O[C@@H](O[C@H]6[C@H](O[C@H]7CC[C@@]8(C)[C@@H](CC[C@]9(C)[C@@H]8CC=C8[C@@H]%10CC(C)(C)CC[C@]%10(C(=O)O[C@@H]%10O[C@H](CO[C@@H]%11O[C@H](CO)[C@@H](O[C@@H]%12O[C@@H](C)[C@H](O)[C@@H](O)[C@H]%12O)[C@H](O)[C@H]%11O)[C@@H](O)[C@H](O)[C@H]%10O)CC[C@]89C)C7(C)C)OC[C@H](O)[C@@H]6O)[C@@H]5O)[C@H](O)[C@@H]4O)[C@H](O)[C@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)cc1O,IC50,8800,nM
CHEMBL345620,CCc1ccc(-c2nc(C)oc2-c2ccc(S(C)(=O)=O)cc2)s1,IC50,140,nM
CHEMBL259678,CS(=O)(=O)c1ccc(-c2nc(NCc3cc(F)cc(F)c3)cc(C(F)(F)F)n2)cc1,IC50,3330044.22,nM
CHEMBL28084,CS(=O)(=O)c1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,100000,nM
CHEMBL408897,NS(=O)(=O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(F)(F)F)n2)cc1,IC50,1244571.93,nM
CHEMBL43616,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Br)c2)cc1,IC50,79.43,nM
CHEMBL320986,Cc1ccncc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,IC50,54000,nM
CHEMBL154589,Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,IC50,10000,nM
CHEMBL345333,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)nc3scc(C(=O)O)n23)cc1,IC50,5000,nM
CHEMBL436539,CC(C)(C)C#CC1=C(c2ccc(S(C)(=O)=O)cc2)CCC1=O,IC50,150,nM
CHEMBL344959,CS(=O)(=O)Nc1cc2c(cc1OC1CCCCC1)C(=O)CC2,IC50,50,nM
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,IC50,23620,nM
CHEMBL358609,Cc1cn2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nc2s1,IC50,12,nM
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,,
CHEMBL14735,CC1(C)COc2ccc(C(=O)CCCC3CC3)cc21,IC50,8000,nM
CHEMBL158493,Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,IC50,30,nM
CHEMBL328009,COc1cc2c(cc1F)-c1c(c(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)cc1)SC2,IC50,8.999,nM
CHEMBL172364,CS(=O)(=O)c1ccc(-c2ccccc2Oc2ccccc2)cc1,IC50,33000,nM
CHEMBL421826,Cc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)sc3nc(C(F)(F)F)nn23)c1,IC50,3,nM
CHEMBL155980,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cc(F)cc(F)c2)cc1,IC50,80,nM
CHEMBL29887,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1C,IC50,9.3,nM
CHEMBL27975,NS(=O)(=O)c1ccc(-n2ncc(Br)c2-c2ccc(Cl)cc2)cc1,IC50,31,nM
CHEMBL433427,COc1ccc2c(c1)c(CC(=O)NC(C)(C)CO)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,190,nM
CHEMBL28527,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,IC50,41,nM
CHEMBL92793,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccncc2)cc1,IC50,101,nM
CHEMBL299806,CN(C)c1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,IC50,8,nM
CHEMBL43863,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C(C)C,IC50,100000,nM
CHEMBL298031,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(NS(C)(=O)=O)cc2)cc1,IC50,960,nM
CHEMBL184075,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Oc1ccc(Cl)cc1,IC50,300,nM
CHEMBL264503,CS(=O)(=O)Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccccc1Cl,IC50,40000,nM
