gen,mean_score,compound,best_5_score,best_10_score,best_20_score
37,-11.709166666666667,0_3_103 0_3_135 3_4_355 5_0_60 3_3_96 0_1_9 4_3_40 5_3_40 0_6_40 0_3_40 2_3_40 1_3_40 3_6_40 1_4_40 5_3_165 4_6_64 0_0_390 3_3_240 0_3_373 0_2_40 4_1_127 0_2_43 3_3_217 3_3_2 0_3_196 0_3_142 0_3_370 4_3_217 ERROR_0_4_199 1_1_40 1_2_40 6_3_409 6_3_217 1_1_249 0_0_165 5_0_390 5_3_350 ERROR_0_3_410 0_1_297 1_1_78,-14.913333333333336,-14.236666666666668,-13.633333333333335
38,-12.112056737588652,4_2_142 0_3_45 3_3_257 0_3_170 0_3_217 0_0_9 2_3_40 0_3_40 0_5_40 0_2_217 0_1_112 0_3_42 0_3_350 0_6_40 0_3_364 3_3_127 0_3_16 5_0_390 0_2_112 0_3_370 5_6_203 1_3_393 3_3_325 6_3_40 4_3_103 4_3_217 0_3_0 0_1_136 2_5_40 0_0_56 0_3_142 3_3_217 1_4_40 0_3_373 0_3_289 0_2_247 4_6_127 0_3_222 4_5_65 2_3_390 3_0_295 5_2_40 0_5_370 0_3_196 2_4_40 0_5_217 1_2_217,-14.893333333333334,-14.443333333333333,-13.803333333333336
39,-11.803623188405798,0_2_217 1_3_187 2_3_390 0_3_239 0_3_217 5_0_280 0_0_40 0_3_115 0_4_217 0_2_303 0_4_373 6_3_40 0_5_222 3_3_40 0_5_217 0_3_112 3_4_407 0_3_97 1_1_40 6_4_40 6_5_40 0_5_40 2_6_142 0_3_367 4_2_40 1_3_9 0_3_305 0_3_373 0_3_16 5_3_390 1_3_40 0_1_222 0_3_40 0_2_55 3_0_295 1_2_364 4_2_331 2_3_40 2_0_390 5_6_217 6_3_364 1_1_217 6_6_247 2_1_247 3_3_118 5_2_217,-14.913333333333332,-14.490000000000004,-13.655000000000001
40,-11.537878787878789,0_0_370 ERROR_6_3_236 0_6_54 1_3_40 6_2_152 0_0_75 3_2_395 0_3_40 0_1_157 0_3_142 0_5_217 5_3_367 3_3_40 1_3_270 0_5_166 5_3_270 2_4_217 6_1_373 0_5_55 0_3_15 5_3_217 0_3_287 0_1_40 2_1_40 0_3_364 0_3_355 0_3_187 0_0_40 3_2_40 0_4_373 2_3_386 0_4_40 2_0_390 6_3_364 0_3_217 2_3_276 0_3_333 3_5_224 5_2_40 2_3_224 3_5_217 6_5_305 0_1_36 ERROR_6_1_354,-14.853333333333333,-14.176666666666668,-13.541666666666668
41,-11.707317073170731,4_3_40 4_1_288 1_3_40 0_3_270 5_3_40 0_3_272 2_3_386 0_3_40 0_1_40 6_3_40 3_3_40 2_1_112 0_3_190 0_5_40 0_3_146 5_3_291 0_5_237 5_2_40 0_0_376 4_3_404 0_4_270 2_3_5 3_0_217 3_2_40 3_3_126 2_3_40 3_0_40 6_4_40 4_3_254 0_3_93 0_0_87 5_1_291 6_1_373 1_4_201 3_3_187 3_5_83 2_0_323 3_2_36 3_3_302 0_5_227 3_2_156,-15.0,-14.473333333333334,-13.481666666666666
42,-11.830476190476192,3_3_217 2_2_315 6_0_40 0_0_48 3_0_263 6_3_40 0_5_40 2_3_217 0_3_40 0_2_40 0_5_289 3_2_40 5_5_365 1_4_201 0_5_103 2_3_40 3_3_400 0_1_40 6_3_329 6_3_24 0_1_213 5_3_53 0_6_124 0_3_77 4_3_40 4_3_270 3_0_201 1_3_40 3_4_40 3_3_126 2_1_369 5_2_92 ERROR_0_5_236 2_0_217 5_2_201,-14.986666666666668,-14.37,-13.336666666666668
43,-11.502083333333333,0_3_205 5_3_201 5_0_60 1_0_40 0_2_40 0_0_40 2_3_40 0_4_315 0_3_40 3_3_40 3_3_329 0_1_52 2_3_317 0_0_225 5_2_315 2_3_43 0_3_383 5_2_111 0_3_63 2_2_216 0_3_1 1_3_4 0_0_356 0_2_16 6_3_40 0_1_40 2_2_340 0_5_40 ERROR_0_1_338 2_6_329 3_3_131 2_1_313,-14.9,-14.303333333333333,-13.434999999999999
44,-12.141666666666666,2_2_40 2_3_40 3_3_40 3_3_302 0_0_40 0_3_30 0_3_40 2_5_40 1_3_40 3_1_52 0_3_303 1_3_74 6_3_40 0_3_226 6_0_245 1_2_40 6_3_43 3_5_277 5_3_40 0_1_175 0_3_182 0_2_38 0_5_40 0_2_40 0_3_81 5_1_40 3_3_330 1_1_40 0_2_315 5_0_225 5_2_380 0_3_227,-15.066666666666666,-14.416666666666666,-13.683333333333334
45,-11.659829059829061,2_5_40 0_1_256 0_3_40 5_3_40 0_4_239 4_4_40 2_3_40 0_1_40 3_5_15 1_1_40 0_6_102 0_2_54 0_3_339 6_0_40 6_3_234 0_3_348 2_3_74 3_2_40 6_1_40 0_6_40 0_3_270 3_3_40 1_3_40 0_3_335 0_1_175 6_3_289 0_6_73 2_2_225 0_3_48 0_2_315 0_2_40 0_6_280 3_5_92 0_3_301 0_4_313 0_4_136 1_2_315 0_2_118 5_0_380,-14.98,-14.556666666666667,-13.745000000000001
46,-11.804504504504505,0_3_287 0_3_139 2_3_40 0_3_40 0_1_40 0_3_398 0_2_315 5_4_40 ERROR_0_3_236 6_3_234 6_6_40 0_0_40 5_1_40 5_6_223 1_3_67 6_3_346 0_3_301 0_3_75 1_3_40 0_1_123 0_3_37 0_3_348 2_2_315 2_3_359 0_5_40 5_3_40 1_2_80 6_3_40 0_2_40 1_3_386 2_1_40 0_5_335 0_6_40 5_3_208 5_5_286 5_4_372 ERROR_5_3_385,-15.066666666666666,-14.606666666666666,-13.694999999999999
